"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PROM2",-0.0233041732513566,8.63172876929823,-3.48719941049917,0.000574900550163844,0.00250613874657223,-1.50158718838681
"LINC01956",0.121494963401628,8.34686639703668,3.31052409213762,0.00106615417146188,0.00423586830680194,-1.50305075456713
"TFAP2E-AS1",-0.0251630584967599,8.64788123341105,-3.50868221677537,0.00053239006417892,0.00233861632109939,-1.50751061020514
"AC096589.1",0.0577275089999672,8.61662441140161,3.47662962106609,0.000596964185032793,0.00258483988431076,-1.51168061593789
"MRPL33",0.0750778029131865,7.78394614728528,3.35171564524079,0.000925265423337275,0.00377135781957162,-1.53239157547625
"H1-10-AS1",-0.0729673551617158,7.97369364895561,-3.29214494618446,0.00113524854626961,0.00446225362279905,-1.54482095586779
"AC104135.1",0.0674272428172485,7.58277914533401,3.41441704619067,0.000743739598638025,0.00313354992661462,-1.5566056074249
"AC099344.3",0.056895871952967,8.43509626162476,3.31702503917421,0.00104266623729598,0.00416178775985709,-1.55740269202794
"SH2D2A",0.0282601291306632,8.70010454188943,3.58786588719011,0.000399820455963916,0.00183277697013859,-1.55774533034942
"EEFSEC",0.025203557377622,8.71868045357349,3.61347766843466,0.000364058915600537,0.00168683901864508,-1.56654794758764
"AC005034.6",-0.103796827728642,8.02825752726241,-3.27348865332758,0.00120962523673624,0.00470440222160544,-1.57421157806394
"PAQR7",0.0650741683776038,8.62264407779713,3.4638479296679,0.000624703857880797,0.00268019783285463,-1.57712996932483
"SMG5",-0.0432936356152927,8.70628535908218,-3.56851658600539,0.000428999468701931,0.0019492072776175,-1.5790142762061
"TSEN15",0.0483504010860064,7.39742485633068,3.48338014939394,0.000582783322380059,0.00253407554259188,-1.57967909306606
"AL360013.4",0.0333814605699436,8.72305064219619,3.61583002522604,0.000360929752530771,0.00167535079550062,-1.58144840816686
"AGL",0.0895777662954077,8.32047721943348,3.27436518172715,0.00120603178344588,0.00469751201452449,-1.59095657573011
"AC105393.1",0.0625424778308183,8.61103873771906,3.44397762324968,0.000670233482909764,0.00284711208514469,-1.59489537144318
"AAK1",0.0634278666344434,8.50941800383344,3.3437385934273,0.000951115924411911,0.00385909112682315,-1.59607589467312
"AC009962.1",-0.0532689633738192,8.47022855556938,-3.31439982425914,0.00105209256265669,0.00419616500047995,-1.59774945486274
"OR2M3",-0.102964509794918,8.26211110205346,-3.25926395296425,0.00126934983567203,0.00489426808218933,-1.60162626759096
"HSPA5P1",-0.0551205855129629,8.64837320658477,-3.47002462929242,0.000611151489750495,0.00263300604230852,-1.61373450687998
"LINC02812",-0.0520027392037137,8.30481058010521,-3.26066115280832,0.00126336441898191,0.0048766244825522,-1.61451525011702
